Марка;Сслыка;Цена в $;Цена  в UAH;Город
ВАЗ 21071988;https://auto.ria.com/uk/auto_vaz_2107_31063879.html;750;20 093 грн;Миргород
ВАЗ 21072003;https://auto.ria.com/uk/auto_vaz_2107_31063864.html;1 250;33 488 грн;Рахів
ВАЗ 2112 1.6i 16v2006;https://auto.ria.com/uk/auto_vaz_2112_31063858.html;3 300;88 407 грн;Гадяч
ВАЗ 21102006;https://auto.ria.com/uk/auto_vaz_2110_31063800.html;2 300;61 617 грн;Біла Церква
ВАЗ 21071995;https://auto.ria.com/uk/auto_vaz_2107_31063759.html;950;25 451 грн;Київ
ВАЗ 210991999;https://auto.ria.com/uk/auto_vaz_21099_27693706.html;1 900;50 901 грн;Ужгород
ВАЗ 21112007;https://auto.ria.com/uk/auto_vaz_2111_31062148.html;2 500;66 975 грн;Світловодськ
ВАЗ 212132001;https://auto.ria.com/uk/auto_vaz_21213_31063663.html;3 200;85 728 грн;Конотоп
ВАЗ 2115 21152007;https://auto.ria.com/uk/auto_vaz_2115_31063652.html;3 000;80 370 грн;Харків
ВАЗ 21212011;https://auto.ria.com/uk/auto_vaz_2121_19350137.html;5 500;147 345 грн;Харків
ВАЗ 21042001;https://auto.ria.com/uk/auto_vaz_2104_30908062.html;1 400;37 506 грн;Фастів
ВАЗ 21061990;https://auto.ria.com/uk/auto_vaz_2106_31063542.html;1 200;32 148 грн;Новоград-Волинський
ВАЗ 21132008;https://auto.ria.com/uk/auto_vaz_2113_31063524.html;2 700;72 333 грн;Суми
ВАЗ 2110 211022003;https://auto.ria.com/uk/auto_vaz_2110_29917392.html;2 300;61 617 грн;Бердичів
ВАЗ 21702008;https://auto.ria.com/uk/auto_vaz_2170_26580785.html;3 750;100 463 грн;Козятин
ВАЗ 21021978;https://auto.ria.com/uk/auto_vaz_2102_31061185.html;1 600;42 864 грн;Новомосковськ
ВАЗ 21061988;https://auto.ria.com/uk/auto_vaz_2106_31063256.html;950;25 451 грн;Біла Церква
ВАЗ 21092006;https://auto.ria.com/uk/auto_vaz_2109_31063047.html;3 500;93 765 грн;Харків
ВАЗ 21102005;https://auto.ria.com/uk/auto_vaz_2110_30552220.html;2 900;77 691 грн;Харків
ВАЗ 21081992;https://auto.ria.com/uk/auto_vaz_2108_31063120.html;850;22 772 грн;Київ
ВАЗ 21211991;https://auto.ria.com/uk/auto_vaz_2121_31063123.html;2 053;55 000 грн;Маріуполь
ВАЗ 21072003;https://auto.ria.com/uk/auto_vaz_2107_29500926.html;1 500;40 185 грн;Хмільник
ВАЗ 21702007;https://auto.ria.com/uk/auto_vaz_2170_31063060.html;3 300;88 407 грн;Вінниця
ВАЗ 21142004;https://auto.ria.com/uk/auto_vaz_2114_31063009.html;2 800;75 012 грн;Жовті Води
ВАЗ 212132000;https://auto.ria.com/uk/auto_vaz_21213_30552736.html;6 999;187 503 грн;Чернівці
ВАЗ 21102006;https://auto.ria.com/uk/auto_vaz_2110_31056968.html;2 800;75 012 грн;Кам'янець-Подільський
ВАЗ 21092005;https://auto.ria.com/uk/auto_vaz_2109_31062812.html;2 200;58 938 грн;Чернігів
ВАЗ 21061991;https://auto.ria.com/uk/auto_vaz_2106_31062875.html;720;19 289 грн;Коломия
ВАЗ 21722008;https://auto.ria.com/uk/auto_vaz_2172_31062784.html;4 500;120 555 грн;Херсон
ВАЗ 210992003;https://auto.ria.com/uk/auto_vaz_21099_30921471.html;2 300;61 617 грн;Кам'янське (Дніпродзержинськ)
ВАЗ 21099 2109942007;https://auto.ria.com/uk/auto_vaz_21099_31062609.html;2 900;77 691 грн;Київ
ВАЗ 1118 1.6 8V2007;https://auto.ria.com/uk/auto_vaz_1118_30820771.html;2 900;77 691 грн;Козятин
ВАЗ 2171 21712011;https://auto.ria.com/uk/auto_vaz_2171_27702085.html;4 200;112 518 грн;Бровари
ВАЗ 1117 11172008;https://auto.ria.com/uk/auto_vaz_1117_30746359.html;3 400;91 086 грн;Тернопіль
ВАЗ 21072003;https://auto.ria.com/uk/auto_vaz_2107_31062426.html;1 200;32 148 грн;Вараш (Кузнецовськ)
ВАЗ 21081992;https://auto.ria.com/uk/auto_vaz_2108_29581195.html;1 100;29 469 грн;Дунаївці
ВАЗ 21061992;https://auto.ria.com/uk/auto_vaz_2106_31062207.html;1 200;32 148 грн;Могилів-Подільський
ВАЗ 21102009;https://auto.ria.com/uk/auto_vaz_2110_29327569.html;3 600;96 444 грн;Веселе
ВАЗ 21132007;https://auto.ria.com/uk/auto_vaz_2113_31062021.html;1 950;52 241 грн;Жовква
ВАЗ 21091988;https://auto.ria.com/uk/auto_vaz_2109_29928765.html;1 300;34 827 грн;Волноваха
ВАЗ 210991999;https://auto.ria.com/uk/auto_vaz_21099_30776659.html;1 300;34 827 грн;Київ
ВАЗ 21122002;https://auto.ria.com/uk/auto_vaz_2112_31061976.html;1 899;50 874 грн;Харків
ВАЗ 21072002;https://auto.ria.com/uk/auto_vaz_2107_31061928.html;1 500;40 185 грн;Іршава
ВАЗ 21051993;https://auto.ria.com/uk/auto_vaz_2105_31061838.html;750;20 093 грн;Харків
ВАЗ 21211982;https://auto.ria.com/uk/auto_vaz_2121_30820136.html;1 600;42 864 грн;Бердянськ
ВАЗ 21061987;https://auto.ria.com/uk/auto_vaz_2106_31061797.html;1 283;34 375 грн;Миколаїв
ВАЗ 21091993;https://auto.ria.com/uk/auto_vaz_2109_31061812.html;1 600;42 864 грн;Калинівка
ВАЗ 21061987;https://auto.ria.com/uk/auto_vaz_2106_31061800.html;849;22 745 грн;Львів
ВАЗ 21072009;https://auto.ria.com/uk/auto_vaz_2107_30820852.html;1 800;48 222 грн;Горохів
ВАЗ 210992004;https://auto.ria.com/uk/auto_vaz_21099_31061675.html;1 600;42 864 грн;Великий Березний
ВАЗ 21142010;https://auto.ria.com/uk/auto_vaz_2114_30819465.html;3 550;95 105 грн;Полтава
ВАЗ 21051993;https://auto.ria.com/uk/auto_vaz_2105_31061538.html;1 300;34 827 грн;Полтава
ВАЗ 2110 16v2003;https://auto.ria.com/uk/auto_vaz_2110_31061569.html;1 900;50 901 грн;Запоріжжя
ВАЗ 21122008;https://auto.ria.com/uk/auto_vaz_2112_31061614.html;3 500;93 765 грн;Середина-Буда
ВАЗ 2114 Samara2009;https://auto.ria.com/uk/auto_vaz_2114_31061519.html;2 650;70 994 грн;Тернопіль
ВАЗ 21152004;https://auto.ria.com/uk/auto_vaz_2115_31061567.html;3 450;92 426 грн;Київ
ВАЗ 210992006;https://auto.ria.com/uk/auto_vaz_21099_31051632.html;2 500;66 975 грн;Харків
ВАЗ 21102001;https://auto.ria.com/uk/auto_vaz_2110_31061533.html;1 900;50 901 грн;Бахмут (Артемівськ)
ВАЗ 21081996;https://auto.ria.com/uk/auto_vaz_2108_29122066.html;1 500;40 185 грн;Тячів
ВАЗ 21099 1.51995;https://auto.ria.com/uk/auto_vaz_21099_30809210.html;1 400;37 506 грн з ПДВ;Новоселиця
ВАЗ 2105 Gd1995;https://auto.ria.com/uk/auto_vaz_2105_31061336.html;700;18 753 грн;Кропивницький (Кіровоград)
ВАЗ 210992004;https://auto.ria.com/uk/auto_vaz_21099_31061378.html;2 750;73 673 грн з ПДВ;Запоріжжя
ВАЗ 210991998;https://auto.ria.com/uk/auto_vaz_21099_31061343.html;2 100;56 259 грн;Харків
ВАЗ 21702008;https://auto.ria.com/uk/auto_vaz_2170_31061315.html;2 999;80 343 грн;Кременчук
ВАЗ 21211981;https://auto.ria.com/uk/auto_vaz_2121_27409659.html;4 000;107 160 грн;Кролевець
ВАЗ 11192008;https://auto.ria.com/uk/auto_vaz_1119_31061270.html;3 600;96 444 грн;Бердянськ
ВАЗ 21112005;https://auto.ria.com/uk/auto_vaz_2111_31061179.html;3 490;93 497 грн;Київ
ВАЗ 21092008;https://auto.ria.com/uk/auto_vaz_2109_31061202.html;2 400;64 296 грн;Київ
ВАЗ 21102001;https://auto.ria.com/uk/auto_vaz_2110_31061147.html;2 300;61 617 грн;Білопілля
ВАЗ 11182007;https://auto.ria.com/uk/auto_vaz_1118_31061051.html;2 700;72 333 грн;Ірпінь
ВАЗ 21122006;https://auto.ria.com/uk/auto_vaz_2112_31061050.html;3 600;96 444 грн;Монастирище
ВАЗ 21072004;https://auto.ria.com/uk/auto_vaz_2107_31060934.html;1 300;34 827 грн;Коростень
ВАЗ 21061991;https://auto.ria.com/uk/auto_vaz_2106_31060927.html;1 100;29 469 грн;Вишгород
ВАЗ 21061983;https://auto.ria.com/uk/auto_vaz_2106_31024470.html;1 300;34 827 грн;Одеса
ВАЗ 21102003;https://auto.ria.com/uk/auto_vaz_2110_25365372.html;3 099;83 022 грн;Харків
ВАЗ 21702011;https://auto.ria.com/uk/auto_vaz_2170_30714943.html;3 800;101 802 грн;Ріпки
ВАЗ 21091994;https://auto.ria.com/uk/auto_vaz_2109_31060747.html;1 150;30 809 грн;Луцьк
ВАЗ 21112001;https://auto.ria.com/uk/auto_vaz_2111_31060735.html;2 600;69 654 грн;Конотоп
ВАЗ 21031992;https://auto.ria.com/uk/auto_vaz_2103_31060705.html;1 500;40 185 грн;Макіївка
ВАЗ 21042005;https://auto.ria.com/uk/auto_vaz_2104_30895767.html;1 650;44 204 грн;Київ
ВАЗ 21122004;https://auto.ria.com/uk/auto_vaz_2112_30390610.html;2 200;58 938 грн;Прилуки
ВАЗ 210991994;https://auto.ria.com/uk/auto_vaz_21099_31060509.html;2 300;61 617 грн з ПДВ;Бахмач
ВАЗ 21112006;https://auto.ria.com/uk/auto_vaz_2111_31060553.html;2 850;76 352 грн;Бар
ВАЗ 21061995;https://auto.ria.com/uk/auto_vaz_2106_30815121.html;690;18 485 грн;Черкаси
ВАЗ 2101 210131985;https://auto.ria.com/uk/auto_vaz_2101_31060535.html;1 500;40 185 грн;Дніпро (Дніпропетровськ)
ВАЗ 21214 NIVA2014;https://auto.ria.com/uk/auto_vaz_21214_31056638.html;6 100;163 419 грн;Дніпро (Дніпропетровськ)
ВАЗ 210992005;https://auto.ria.com/uk/auto_vaz_21099_31060431.html;1 450;38 846 грн;Умань
ВАЗ 21102001;https://auto.ria.com/uk/auto_vaz_2110_30808346.html;2 000;53 580 грн;Харків
ВАЗ 21112008;https://auto.ria.com/uk/auto_vaz_2111_31060349.html;2 800;75 012 грн з ПДВ;Івано-Франківськ
ВАЗ 2111 1.62007;https://auto.ria.com/uk/auto_vaz_2111_30819649.html;3 400;91 086 грн;Краматорськ
ВАЗ 21712011;https://auto.ria.com/uk/auto_vaz_2171_31060282.html;4 500;120 555 грн;Згурівка
ВАЗ 2111 211122007;https://auto.ria.com/uk/auto_vaz_2111_31060171.html;3 500;93 765 грн;Дніпро (Дніпропетровськ)
ВАЗ 21041996;https://auto.ria.com/uk/auto_vaz_2104_31060186.html;2 000;53 580 грн;Одеса
ВАЗ 21061992;https://auto.ria.com/uk/auto_vaz_2106_31060203.html;950;25 451 грн;Черкаси
ВАЗ 21092006;https://auto.ria.com/uk/auto_vaz_2109_31060152.html;3 600;96 444 грн;Сміла
ВАЗ 21211980;https://auto.ria.com/uk/auto_vaz_2121_31059750.html;13 300;356 307 грн;Самбір
ВАЗ 11192007;https://auto.ria.com/uk/auto_vaz_1119_29931594.html;3 300;88 407 грн;Чернігів
ВАЗ 11182007;https://auto.ria.com/uk/auto_vaz_1118_31035580.html;3 900;104 481 грн;Харків
ВАЗ 212142010;https://auto.ria.com/uk/auto_vaz_21214_27720450.html;6 200;166 098 грн;Полтава
ВАЗ 21071991;https://auto.ria.com/uk/auto_vaz_2107_30518442.html;1 600;42 864 грн;Суми
ВАЗ 21112006;https://auto.ria.com/uk/auto_vaz_2111_29609685.html;3 200;85 728 грн;Київ
ВАЗ 21112007;https://auto.ria.com/uk/auto_vaz_2111_31060043.html;2 100;56 259 грн;Херсон
ВАЗ 21712012;https://auto.ria.com/uk/auto_vaz_2171_31060020.html;4 600;123 234 грн;Конотоп
ВАЗ 21081992;https://auto.ria.com/uk/auto_vaz_2108_30633993.html;1 600;42 864 грн;Вижниця
ВАЗ 21051997;https://auto.ria.com/uk/auto_vaz_2105_30575719.html;1 000;26 790 грн;Харків
ВАЗ 212142007;https://auto.ria.com/uk/auto_vaz_21214_31059837.html;4 850;129 932 грн;Волочиськ
ВАЗ 2121 21211981;https://auto.ria.com/uk/auto_vaz_2121_31028108.html;2 538;68 000 грн;Запоріжжя
ВАЗ 21061990;https://auto.ria.com/uk/auto_vaz_2106_31059741.html;1 450;38 846 грн;Новоайдар
ВАЗ 21112007;https://auto.ria.com/uk/auto_vaz_2111_31059703.html;1 999;53 553 грн;Київ
ВАЗ 212142007;https://auto.ria.com/uk/auto_vaz_21214_31059730.html;6 000;160 740 грн;Київ
ВАЗ 21102000;https://auto.ria.com/uk/auto_vaz_2110_31059624.html;1 650;44 204 грн;Харків
ВАЗ 21112005;https://auto.ria.com/uk/auto_vaz_2111_30578316.html;2 000;53 580 грн;Київ
ВАЗ 21011981;https://auto.ria.com/uk/auto_vaz_2101_30939558.html;1 400;37 506 грн;Кривий Ріг
ВАЗ 210992003;https://auto.ria.com/uk/auto_vaz_21099_31059579.html;2 100;56 259 грн;Ужгород
ВАЗ 21142006;https://auto.ria.com/uk/auto_vaz_2114_29696966.html;3 000;80 370 грн;Запоріжжя
ВАЗ 21102005;https://auto.ria.com/uk/auto_vaz_2110_31059500.html;2 700;72 333 грн;Овруч
ВАЗ 21211988;https://auto.ria.com/uk/auto_vaz_2121_31059476.html;2 350;62 957 грн;Гайсин
ВАЗ 11192007;https://auto.ria.com/uk/auto_vaz_1119_31059440.html;2 500;66 975 грн;Бердянськ
ВАЗ 21102000;https://auto.ria.com/uk/auto_vaz_2110_30135235.html;2 650;70 994 грн;Переяслав-Хмельницький
ВАЗ 21062001;https://auto.ria.com/uk/auto_vaz_2106_31059385.html;1 600;42 864 грн;Біла Церква
ВАЗ 21072005;https://auto.ria.com/uk/auto_vaz_2107_31059313.html;2 000;53 580 грн;Маріуполь
ВАЗ 21091988;https://auto.ria.com/uk/auto_vaz_2109_31059308.html;1 550;41 525 грн;Харків
ВАЗ 21092008;https://auto.ria.com/uk/auto_vaz_2109_30190824.html;3 100;83 049 грн;Черкаси
ВАЗ 210992006;https://auto.ria.com/uk/auto_vaz_21099_30575481.html;2 500;66 975 грн;Шепетівка
ВАЗ 210992003;https://auto.ria.com/uk/auto_vaz_21099_31059211.html;2 250;60 278 грн;Вінниця
ВАЗ 21091990;https://auto.ria.com/uk/auto_vaz_2109_30792950.html;550;14 735 грн;Великий Бурлук
ВАЗ 2111 CXE8942792008;https://auto.ria.com/uk/auto_vaz_2111_30546644.html;3 000;80 370 грн;Мукачеве
ВАЗ 21072005;https://auto.ria.com/uk/auto_vaz_2107_31057971.html;1 500;40 185 грн;Хмельницький
ВАЗ 21092008;https://auto.ria.com/uk/auto_vaz_2109_31059047.html;3 300;88 407 грн;Тульчин
ВАЗ 21081992;https://auto.ria.com/uk/auto_vaz_2108_31059026.html;847;22 691 грн з ПДВ;Коломия
ВАЗ 21211993;https://auto.ria.com/uk/auto_vaz_2121_28108264.html;3 500;93 765 грн;Дніпро (Дніпропетровськ)
ВАЗ 21042007;https://auto.ria.com/uk/auto_vaz_2104_31058988.html;2 050;54 920 грн;Кривий Ріг
ВАЗ 21072006;https://auto.ria.com/uk/auto_vaz_2107_30548940.html;2 400;64 296 грн;Кременчук
ВАЗ 21702008;https://auto.ria.com/uk/auto_vaz_2170_31058968.html;3 500;93 765 грн;Волноваха
ВАЗ 21061984;https://auto.ria.com/uk/auto_vaz_2106_31058958.html;1 250;33 488 грн;Чигирин
ВАЗ 21142010;https://auto.ria.com/uk/auto_vaz_2114_27435327.html;2 751;73 699 грн;Сновськ (Щорс)
ВАЗ 21102011;https://auto.ria.com/uk/auto_vaz_2110_31058912.html;4 300;115 197 грн;Кривий Ріг
ВАЗ 21102007;https://auto.ria.com/uk/auto_vaz_2110_31052028.html;3 500;93 765 грн;Кривий Ріг
ВАЗ 21021982;https://auto.ria.com/uk/auto_vaz_2102_28230793.html;2 800;75 012 грн;Полтава
ВАЗ 212142009;https://auto.ria.com/uk/auto_vaz_21214_30178976.html;3 700;99 123 грн;Дніпро (Дніпропетровськ)
ВАЗ 210992007;https://auto.ria.com/uk/auto_vaz_21099_31058718.html;3 600;96 444 грн;Дніпро (Дніпропетровськ)
ВАЗ 21122007;https://auto.ria.com/uk/auto_vaz_2112_31058726.html;2 700;72 333 грн;Вінниця
ВАЗ 21211985;https://auto.ria.com/uk/auto_vaz_2121_31038270.html;3 500;93 765 грн;Великий Бурлук
ВАЗ 21071987;https://auto.ria.com/uk/auto_vaz_2107_30595647.html;1 200;32 148 грн;Сколе
ВАЗ 21051982;https://auto.ria.com/uk/auto_vaz_2105_31058672.html;1 500;40 185 грн;Одеса
ВАЗ 21091993;https://auto.ria.com/uk/auto_vaz_2109_31058637.html;700;18 753 грн;Дніпро (Дніпропетровськ)
ВАЗ 21061988;https://auto.ria.com/uk/auto_vaz_2106_31058636.html;1 650;44 204 грн;Краснопілля
ВАЗ 21722008;https://auto.ria.com/uk/auto_vaz_2172_30288731.html;2 750;73 673 грн;Жмеринка
ВАЗ 212142008;https://auto.ria.com/uk/auto_vaz_21214_30818112.html;3 850;103 142 грн;Київ
ВАЗ 21702008;https://auto.ria.com/uk/auto_vaz_2170_30784035.html;2 800;75 012 грн;Куп'янськ
ВАЗ 21102006;https://auto.ria.com/uk/auto_vaz_2110_29920714.html;1 650;44 204 грн;Івано-Франківськ
ВАЗ 21051986;https://auto.ria.com/uk/auto_vaz_2105_31058383.html;1 250;33 488 грн;Кринички
ВАЗ 21072003;https://auto.ria.com/uk/auto_vaz_2107_31058486.html;1 600;42 864 грн;Луцьк
ВАЗ 21091982;https://auto.ria.com/uk/auto_vaz_2109_31058439.html;2 613;70 000 грн;Звенигородка
ВАЗ 21081991;https://auto.ria.com/uk/auto_vaz_2108_31058449.html;950;25 451 грн;Житомир
ВАЗ 21091995;https://auto.ria.com/uk/auto_vaz_2109_31058398.html;1 300;34 827 грн з ПДВ;Бровари
ВАЗ 21081991;https://auto.ria.com/uk/auto_vaz_2108_31058395.html;2 900;77 691 грн;Дніпро (Дніпропетровськ)
ВАЗ 11192007;https://auto.ria.com/uk/auto_vaz_1119_30933569.html;2 600;69 654 грн;Львів
ВАЗ 21041988;https://auto.ria.com/uk/auto_vaz_2104_31058257.html;540;14 467 грн;Коломия
ВАЗ 21011980;https://auto.ria.com/uk/auto_vaz_2101_31058254.html;1 200;32 148 грн;Солоне
ВАЗ 21142008;https://auto.ria.com/uk/auto_vaz_2114_29012168.html;3 100;83 049 грн;Лиман (Красний Лиман)
ВАЗ 21091997;https://auto.ria.com/uk/auto_vaz_2109_30546723.html;1 500;40 185 грн;Красилів
ВАЗ 21072006;https://auto.ria.com/uk/auto_vaz_2107_31057873.html;2 500;66 975 грн;Остер
ВАЗ 21152001;https://auto.ria.com/uk/auto_vaz_2115_30531887.html;2 400;64 296 грн;Борислав
ВАЗ 21081992;https://auto.ria.com/uk/auto_vaz_2108_31058072.html;1 999;53 553 грн;Львів
ВАЗ 21211980;https://auto.ria.com/uk/auto_vaz_2121_31057749.html;850;22 772 грн;Харків
ВАЗ 11172010;https://auto.ria.com/uk/auto_vaz_1117_30814596.html;4 500;120 555 грн;Краматорськ
ВАЗ 21041995;https://auto.ria.com/uk/auto_vaz_2104_31057790.html;1 150;30 809 грн;Кам'янець-Подільський
ВАЗ 210992004;https://auto.ria.com/uk/auto_vaz_21099_31057723.html;2 999;80 343 грн;Новомосковськ
ВАЗ 21122008;https://auto.ria.com/uk/auto_vaz_2112_31057725.html;2 500;66 975 грн;Одеса
ВАЗ 21061991;https://auto.ria.com/uk/auto_vaz_2106_30817644.html;1 800;48 222 грн;Першотравенськ
ВАЗ 21091988;https://auto.ria.com/uk/auto_vaz_2109_30983541.html;1 200;32 148 грн;Косів
ВАЗ 21042008;https://auto.ria.com/uk/auto_vaz_2104_31057652.html;2 450;65 636 грн;Могилів-Подільський
ВАЗ 21102013;https://auto.ria.com/uk/auto_vaz_2110_31057607.html;3 499;93 738 грн;Первомайськ
ВАЗ 21702009;https://auto.ria.com/uk/auto_vaz_2170_29386080.html;4 000;107 160 грн;Харків
ВАЗ 21092002;https://auto.ria.com/uk/auto_vaz_2109_31057519.html;2 000;53 580 грн;Львів
ВАЗ 210991994;https://auto.ria.com/uk/auto_vaz_21099_31057469.html;2 300;61 617 грн;Вознесенськ
ВАЗ 21102002;https://auto.ria.com/uk/auto_vaz_2110_31057468.html;2 900;77 691 грн;Енергодар
ВАЗ 21112006;https://auto.ria.com/uk/auto_vaz_2111_31057424.html;2 800;75 012 грн;Кагарлик
ВАЗ 21051990;https://auto.ria.com/uk/auto_vaz_2105_30736346.html;950;25 451 грн;Рубіжне
ВАЗ 212132003;https://auto.ria.com/uk/auto_vaz_21213_31057342.html;4 600;123 234 грн;Чернівці
ВАЗ 21142006;https://auto.ria.com/uk/auto_vaz_2114_31057335.html;2 800;75 012 грн;Умань
ВАЗ 210991993;https://auto.ria.com/uk/auto_vaz_21099_31057273.html;1 550;41 525 грн;Львів
ВАЗ 21214 TOLYATTI2007;https://auto.ria.com/uk/auto_vaz_21214_31054050.html;3 800;101 802 грн;Тростянець
ВАЗ 21071999;https://auto.ria.com/uk/auto_vaz_2107_31057263.html;1 200;32 148 грн;Вишгород
ВАЗ 21041989;https://auto.ria.com/uk/auto_vaz_2104_31057187.html;1 600;42 864 грн;Тульчин
ВАЗ 21152006;https://auto.ria.com/uk/auto_vaz_2115_31057190.html;2 850;76 352 грн;Прилуки
ВАЗ 11192008;https://auto.ria.com/uk/auto_vaz_1119_31057188.html;3 500;93 765 грн;Полонне
ВАЗ 21152008;https://auto.ria.com/uk/auto_vaz_2115_30811805.html;3 500;93 765 грн;Українка
ВАЗ 21211989;https://auto.ria.com/uk/auto_vaz_2121_31057163.html;3 000;80 370 грн;Дніпро (Дніпропетровськ)
ВАЗ 21112010;https://auto.ria.com/uk/auto_vaz_2111_31057006.html;3 250;87 068 грн;Благовіщенське (Ульяновка)
ВАЗ 212131994;https://auto.ria.com/uk/auto_vaz_21213_30467534.html;2 500;66 975 грн;Верховина
ВАЗ 21091998;https://auto.ria.com/uk/auto_vaz_2109_31056948.html;2 200;58 938 грн;Генічеськ
ВАЗ 21072002;https://auto.ria.com/uk/auto_vaz_2107_31056791.html;1 850;49 562 грн;Харків
ВАЗ 21061984;https://auto.ria.com/uk/auto_vaz_2106_31052960.html;2 000;53 580 грн;Чаплинка
ВАЗ 11192012;https://auto.ria.com/uk/auto_vaz_1119_30817409.html;4 000;107 160 грн;Курахове
ВАЗ 21092002;https://auto.ria.com/uk/auto_vaz_2109_31056868.html;1 600;42 864 грн;Маріуполь
ВАЗ 21211978;https://auto.ria.com/uk/auto_vaz_2121_31015486.html;1 900;50 901 грн;Володимирець
ВАЗ 212132000;https://auto.ria.com/uk/auto_vaz_21213_31056842.html;3 000;80 370 грн;Межова
ВАЗ 21142013;https://auto.ria.com/uk/auto_vaz_2114_30477808.html;4 400;117 876 грн;Запоріжжя
ВАЗ 21061989;https://auto.ria.com/uk/auto_vaz_2106_31056831.html;1 300;34 827 грн;Харків
ВАЗ 11182007;https://auto.ria.com/uk/auto_vaz_1118_30757045.html;3 500;93 765 грн;Житомир
ВАЗ 21042001;https://auto.ria.com/uk/auto_vaz_2104_31056746.html;1 300;34 827 грн;Вінниця
ВАЗ 21102007;https://auto.ria.com/uk/auto_vaz_2110_29997341.html;3 200;85 728 грн;Слов'янськ
ВАЗ 21061985;https://auto.ria.com/uk/auto_vaz_2106_30984774.html;1 100;29 469 грн;Біла Церква
ВАЗ 21071983;https://auto.ria.com/uk/auto_vaz_2107_31056680.html;750;20 093 грн;Кам'янець-Подільський
ВАЗ 21091992;https://auto.ria.com/uk/auto_vaz_2109_31056689.html;1 500;40 185 грн;Біла Церква
ВАЗ 21081992;https://auto.ria.com/uk/auto_vaz_2108_31056637.html;950;25 451 грн;Острог
ВАЗ 210992004;https://auto.ria.com/uk/auto_vaz_21099_31056643.html;2 000;53 580 грн;Глухів
ВАЗ 21041991;https://auto.ria.com/uk/auto_vaz_2104_30377950.html;1 500;40 185 грн;Київ
ВАЗ 21152006;https://auto.ria.com/uk/auto_vaz_2115_31056499.html;2 990;80 102 грн;Лебедин
ВАЗ 210992004;https://auto.ria.com/uk/auto_vaz_21099_31056484.html;2 450;65 636 грн;Вишневе
ВАЗ 21011987;https://auto.ria.com/uk/auto_vaz_2101_31056457.html;1 700;45 543 грн;Прилуки
ВАЗ 21102008;https://auto.ria.com/uk/auto_vaz_2110_31056418.html;4 600;123 234 грн;Первомайськ
ВАЗ 21011986;https://auto.ria.com/uk/auto_vaz_2101_31056384.html;850;22 772 грн;Івано-Франківськ
ВАЗ 21092005;https://auto.ria.com/uk/auto_vaz_2109_31054249.html;2 650;70 994 грн;Хмельницький
ВАЗ 21031973;https://auto.ria.com/uk/auto_vaz_2103_31056173.html;8 500;227 715 грн;Ужгород
ВАЗ 21102003;https://auto.ria.com/uk/auto_vaz_2110_31056236.html;2 700;72 333 грн;Лисичанськ
ВАЗ 21042002;https://auto.ria.com/uk/auto_vaz_2104_31056200.html;1 199;32 121 грн;Шумськ
ВАЗ 21081992;https://auto.ria.com/uk/auto_vaz_2108_31056160.html;1 800;48 222 грн;Летичів
ВАЗ 2109 210932005;https://auto.ria.com/uk/auto_vaz_2109_30122301.html;1 800;48 222 грн;Звенигородка
ВАЗ 210992011;https://auto.ria.com/uk/auto_vaz_21099_31056079.html;2 500;66 975 грн;Суми
ВАЗ 21142013;https://auto.ria.com/uk/auto_vaz_2114_31056012.html;4 000;107 160 грн;Запоріжжя
ВАЗ 21092002;https://auto.ria.com/uk/auto_vaz_2109_31055999.html;1 500;40 185 грн;Харків
ВАЗ 21072008;https://auto.ria.com/uk/auto_vaz_2107_30982802.html;2 300;61 617 грн;Дніпро (Дніпропетровськ)
ВАЗ 11182008;https://auto.ria.com/uk/auto_vaz_1118_31055958.html;2 700;72 333 грн;Херсон
ВАЗ 21152002;https://auto.ria.com/uk/auto_vaz_2115_31055762.html;2 600;69 654 грн;Охтирка
ВАЗ 21102008;https://auto.ria.com/uk/auto_vaz_2110_30815104.html;3 000;80 370 грн;Краматорськ
ВАЗ 21061988;https://auto.ria.com/uk/auto_vaz_2106_30827093.html;2 500;66 975 грн;Полтава
ВАЗ 21081991;https://auto.ria.com/uk/auto_vaz_2108_31055877.html;1 600;42 864 грн;Запоріжжя
ВАЗ 210992005;https://auto.ria.com/uk/auto_vaz_21099_30789912.html;3 000;80 370 грн;Золотоноша
ВАЗ 21142011;https://auto.ria.com/uk/auto_vaz_2114_31055772.html;2 900;77 691 грн;Канів
ВАЗ 21091994;https://auto.ria.com/uk/auto_vaz_2109_30335942.html;1 300;34 827 грн;Яремче
ВАЗ 210992007;https://auto.ria.com/uk/auto_vaz_21099_31055615.html;3 799;101 775 грн;Запоріжжя
ВАЗ 212142011;https://auto.ria.com/uk/auto_vaz_21214_31055539.html;6 800;182 172 грн;Прилуки
ВАЗ 2170  22012;https://auto.ria.com/uk/auto_vaz_2170_31055402.html;5 000;133 950 грн;Запоріжжя
ВАЗ 21102007;https://auto.ria.com/uk/auto_vaz_2110_31055396.html;4 000;107 160 грн;Рубіжне
ВАЗ 21152012;https://auto.ria.com/uk/auto_vaz_2115_29419702.html;4 300;115 197 грн;Вишгород
ВАЗ 2115 211542007;https://auto.ria.com/uk/auto_vaz_2115_28571712.html;3 700;99 123 грн;Гайворон
ВАЗ 2108 13001991;https://auto.ria.com/uk/auto_vaz_2108_31055311.html;2 100;56 259 грн;Мелітополь
